CUPS;PERIODO;POTENCIA CONTRATADA (kW)
ES0339000001000003DT;1;16,44
ES0339000001000003DT;2;16,44
ES0339000001000003DT;3;16,44
ES0339000001000004DR;1;6,57
ES0339000001000005DW;1;10,39
ES0339000001000005DW;2;10,39
ES0339000001000007DG;1;3,46
ES0339000001000007DG;2;3,46
ES0339000001000009DY;1;10,39
ES0339000001000009DY;2;10,39
ES0339000001000010DF;1;4,93
ES0339000001000011DP;1;15,01
ES0339000001000011DP;2;15,01
ES0339000001000011DP;3;15,01
ES0339000001000013DX;1;10,35
ES0339000001000016DJ;1;4,56
ES0339000001000019DQ;1;3,46
ES0339000001000019DQ;2;3,46
ES0339000001000020DV;1;3,45
ES0339000001000021DH;1;6,92
ES0339000001000021DH;2;6,92
ES0339000001000022DL;1;2,3
ES0339000001000024DK;1;3,46
ES0339000001000026XT;1;6,92
ES0339000001000026XT;2;6,92
ES0339000001000029XA;1;6,92
ES0339000001000031XM;1;2,07
ES0339000001000031XM;2;2,07
ES0339000001000033XF;1;2,07
ES0339000001000034XP;1;13,85
ES0339000001000034XP;2;13,85
ES0339000001000036XX;1;6,92
ES0339000001000036XX;2;6,92
ES0339000001000037XB;1;5,19
ES0339000001000037XB;2;5,19
ES0339000001000038XN;1;2,3
ES0339000001000038XN;2;2,3
ES0339000001000039XJ;1;3,46
ES0339000001000040XZ;1;5,19
ES0339000001000040XZ;2;5,19
ES0339000001000041XS;1;6,92
ES0339000001000041XS;2;6,92
ES0339000001000042XQ;1;10,39
ES0339000001000042XQ;2;10,39
ES0339000001000043XV;1;3,45
ES0339000001000044XH;1;6,92
ES0339000001000045XL;1;17,32
ES0339000001000045XL;2;17,32
ES0339000001000045XL;3;17,32
ES0339000001000046XC;1;4,93
ES0339000001000047XK;1;82,02
ES0339000001000047XK;2;82,02
ES0339000001000047XK;3;82,02
ES0339000001000053BG;1;10,39
ES0339000001000053BG;2;10,39
ES0339000001000055BY;1;3,45
ES0339000001000056BF;1;16
ES0339000001000056BF;2;16
ES0339000001000056BF;3;16
ES0339000001000060BB;1;11
ES0339000001000061BN;1;10,39
ES0339000001000061BN;2;10,39
ES0339000001000063BZ;1;10,39
ES0339000001000067BH;1;3,46
ES0339000001000067BH;2;3,46
ES0339000001000069BC;1;13,85
ES0339000001000069BC;2;13,85
ES0339000001000072NT;1;3,46
ES0339000001000072NT;2;3,46
ES0339000001000074NW;1;180
ES0339000001000074NW;2;180
ES0339000001000074NW;3;180
ES0339000001000080NP;1;9,86
ES0339000001000108JJ;1;10,39
ES0339000001000108JJ;2;10,39
ES0339000001000110JS;1;20
ES0339000001000110JS;2;20
ES0339000001000110JS;3;20
ES0339000001000115JC;1;13,85
ES0339000001000115JC;2;13,85
ES0339000001000120ZW;1;22
ES0339000001000120ZW;2;22
ES0339000001000120ZW;3;22
ES0339000001000121ZA;1;6,92
ES0339000001000129ZB;1;950
ES0339000001000129ZB;2;950
ES0339000001000129ZB;3;950
ES0339000001000129ZB;4;950
ES0339000001000129ZB;5;950
ES0339000001000129ZB;6;950
ES0339000001000150SD;1;1,15
ES0339000001000151SX;1;4,6
ES0339000001000170QY;1;6,9
ES0339000001000201VZ;1;30
ES0339000001000201VZ;2;30
ES0339000001000201VZ;3;30
ES0339000001000270CZ;1;5,75
ES0339000001000281KW;1;5,5
ES0339000001000283KG;1;3,45
ES0339000001000283KG;2;3,45
ES0339000001000284KM;1;2,3
ES0339000001000390WL;1;4,4
ES0339000001000410AQ;1;3,3
ES0339000001000420GA;1;4,6
ES0339000001000440MT;1;1,1
ES0339000001000480YV;1;4,6
ES0339000001000490FG;1;3,3
ES0339000001000520PB;1;1,65
ES0339000001000540DP;1;3,45
ES0339000001000571XQ;1;3,3
ES0339000001000591BJ;1;10,39
ES0339000001000600BE;1;3,45
ES0339000001000620NL;1;4,4
ES0339000001000630JY;1;3,45
ES0339000001000640JQ;1;5,5
ES0339000001000660ZJ;1;3,3
ES0339000001000730VZ;1;1,1
ES0339000001000750HB;1;2,2
ES0339000001000751HN;1;3,45
ES0339000001000770LP;1;3,45
ES0339000001000788CA;1;3,45
ES0339000001000789CG;1;5,75
ES0339000001000791CY;1;3,6
ES0339000001000793CP;1;4,4
ES0339000001000801CQ;1;1,15
ES0339000001000802CV;1;5,75
ES0339000001000803CH;1;3,3
ES0339000001000805CC;1;5,5
ES0339000001000806CK;1;3,3
ES0339000001000807CE;1;4,6
ES0339000001000808KT;1;4,6
ES0339000001000809KR;1;4,4
ES0339000001000811KA;1;4,4
ES0339000001000812KG;1;5,75
ES0339000001000814KY;1;3,45
ES0339000001000829KK;1;4,4
ES0339000001000830KE;1;2,2
ES0339000001000901WR;1;8,05
ES0339000001000910WX;1;4,4
ES0339000001000950GG;1;2,2
ES0339000001000970MR;1;2,3
ES0339000001000990MK;1;3,3
ES0339000001001010YH;1;1,15
ES0339000001001020FM;1;1,15
ES0339000001001040PW;1;15,01
ES0339000001001040PW;2;15,01
ES0339000001001040PW;3;15,01
ES0339000001001080DL;1;3,45
ES0339000001001100XQ;1;4,6
ES0339000001001111BG;1;5,75
ES0339000001001130NT;1;3,3
ES0339000001001131NR;1;5,75
ES0339000001001150NC;1;4,4
ES0339000001001200SR;1;6,6
ES0339000001001310LL;1;3,3
ES0339000001001330CQ;1;3,3
ES0339000001001331CV;1;3,3
ES0339000001001340KA;1;3,3
ES0339000001001360ET;1;3,3
ES0339000001001380EC;1;4,4
ES0339000001001410RG;1;3,3
ES0339000001001420RZ;1;4,6
ES0339000001001430WR;1;3,3
ES0339000001001440WB;1;4,4
ES0339000001001450WK;1;3,3
ES0339000001001460AP;1;5,75
